"Feature Name","ID","Class","County","State","Latitude","Longitude","Ele(ft)","Map","BGN Date","Entry Date"
Saguache County,198170,Civil,Saguache,CO,380450N,1061654W,9360,Laughlin Gulch,09-FEB-1965,01-FEB-1993
Saguache Division,1935558,Civil,Saguache,CO,380353N,1060609W,7661,Hickey Bridge,,26-SEP-2001
Saint Charles Mesa Division,1935559,Civil,Pueblo,CO,381326N,1043334W,4810,Southeast Pueblo,,26-SEP-2001
Salida Division,1935560,Civil,Chaffee,CO,383520N,1060822W,8425,Maysville,,26-SEP-2001
San Juan County,198171,Civil,San Juan,CO,374551N,1074034W,10233,Silverton,,01-FEB-1993
San Luis Division,1935561,Civil,Costilla,CO,370907N,1052656W,8520,San Luis,,26-SEP-2001
San Miguel County,198172,Civil,San Miguel,CO,380013N,1082421W,8441,Barkelew Draw,,01-FEB-1993
Sangre de Cristo Grant,169596,Civil,Costilla,CO,371230N,1052732W,7884,San Luis,,31-AUG-1992
Sapinero Division,1935562,Civil,Gunnison,CO,382358N,1071714W,8438,Sapinero,,26-SEP-2001
Sargent Division,1935563,Civil,Rio Grande,CO,374020N,1060729W,7664,Center South,,26-SEP-2001
Sedalia Division,1935564,Civil,Douglas,CO,392046N,1050445W,7759,Devils Head,,26-SEP-2001
Sedgwick County,198173,Civil,Sedgwick,CO,405233N,1022106W,3835,Julesburg,,01-FEB-1993
Sheridan Lake Division,1935565,Civil,Kiowa,CO,382626N,1021947W,4144,Sheridan Lake,,26-SEP-2001
Silverthorne Division,1935566,Civil,Summit,CO,394524N,1061129W,9301,Squaw Creek,,26-SEP-2001
Silverton Division,1935567,Civil,San Juan,CO,374551N,1074034W,10233,Silverton,,26-SEP-2001
Simla Division,1935568,Civil,Elbert,CO,390505N,1035719W,6096,Matheson SW,,26-SEP-2001
Snowmass Village Division,1935569,Civil,Pitkin,CO,391402N,1070754W,10984,Redstone,,26-SEP-2001
Somerset Division,1935570,Civil,Gunnison,CO,385730N,1071841W,7352,Paonia Reservoir,,26-SEP-2001
